0.590000 	 0.942985 	 0.189905 	 0.022635 	 0.001918 	 0.000126 	 0.000007 
0.600000 	 0.941071 	 0.192892 	 0.023389 	 0.002016 	 0.000135 	 0.000007 
0.610000 	 0.939127 	 0.195867 	 0.024154 	 0.002117 	 0.000144 	 0.000008 
0.620000 	 0.937153 	 0.198831 	 0.024931 	 0.002222 	 0.000154 	 0.000009 
0.630000 	 0.935150 	 0.201782 	 0.025718 	 0.002329 	 0.000164 	 0.000009 
0.640000 	 0.933118 	 0.204722 	 0.026517 	 0.002440 	 0.000174 	 0.000010 
0.650000 	 0.931056 	 0.207650 	 0.027327 	 0.002555 	 0.000185 	 0.000011 
0.660000 	 0.928965 	 0.210565 	 0.028147 	 0.002672 	 0.000197 	 0.000012 
0.670000 	 0.926845 	 0.213467 	 0.028979 	 0.002794 	 0.000209 	 0.000013 
0.680000 	 0.924696 	 0.216357 	 0.029821 	 0.002918 	 0.000222 	 0.000014 
0.690000 	 0.922518 	 0.219234 	 0.030675 	 0.003047 	 0.000235 	 0.000015 
0.700000 	 0.920311 	 0.222098 	 0.031539 	 0.003179 	 0.000248 	 0.000016 
0.710000 	 0.918076 	 0.224949 	 0.032413 	 0.003314 	 0.000263 	 0.000017 
0.720000 	 0.915812 	 0.227787 	 0.033299 	 0.003454 	 0.000278 	 0.000018 
0.730000 	 0.913520 	 0.230610 	 0.034194 	 0.003597 	 0.000293 	 0.000020 
0.740000 	 0.911200 	 0.233421 	 0.035100 	 0.003743 	 0.000310 	 0.000021 
0.750000 	 0.908852 	 0.236217 	 0.036017 	 0.003894 	 0.000326 	 0.000022 
0.760000 	 0.906476 	 0.238999 	 0.036943 	 0.004048 	 0.000344 	 0.000024 
0.770000 	 0.904072 	 0.241768 	 0.037880 	 0.004207 	 0.000362 	 0.000025 
0.780000 	 0.901640 	 0.244521 	 0.038827 	 0.004369 	 0.000381 	 0.000027 
0.790000 	 0.899181 	 0.247261 	 0.039784 	 0.004535 	 0.000401 	 0.000029 
0.800000 	 0.896695 	 0.249986 	 0.040751 	 0.004705 	 0.000421 	 0.000031 
0.810000 	 0.894182 	 0.252695 	 0.041727 	 0.004880 	 0.000442 	 0.000033 
0.820000 	 0.891641 	 0.255390 	 0.042714 	 0.005058 	 0.000464 	 0.000035 
0.830000 	 0.889074 	 0.258070 	 0.043710 	 0.005240 	 0.000487 	 0.000037 
0.840000 	 0.886480 	 0.260735 	 0.044715 	 0.005427 	 0.000510 	 0.000039 
0.850000 	 0.883859 	 0.263384 	 0.045730 	 0.005618 	 0.000534 	 0.000042 
0.860000 	 0.881212 	 0.266017 	 0.046755 	 0.005813 	 0.000560 	 0.000044 
0.870000 	 0.878539 	 0.268635 	 0.047789 	 0.006012 	 0.000586 	 0.000047 
0.880000 	 0.875840 	 0.271237 	 0.048832 	 0.006216 	 0.000613 	 0.000049 
0.890000 	 0.873114 	 0.273823 	 0.049884 	 0.006424 	 0.000640 	 0.000052 
0.900000 	 0.870363 	 0.276393 	 0.050945 	 0.006636 	 0.000669 	 0.000055 
0.910000 	 0.867587 	 0.278946 	 0.052015 	 0.006853 	 0.000699 	 0.000058 
0.920000 	 0.864784 	 0.281483 	 0.053094 	 0.007074 	 0.000729 	 0.000061 
0.930000 	 0.861957 	 0.284003 	 0.054182 	 0.007300 	 0.000761 	 0.000065 
0.940000 	 0.859104 	 0.286507 	 0.055279 	 0.007530 	 0.000794 	 0.000068 
0.950000 	 0.856227 	 0.288993 	 0.056384 	 0.007764 	 0.000827 	 0.000072 
0.960000 	 0.853325 	 0.291463 	 0.057498 	 0.008004 	 0.000862 	 0.000076 
0.970000 	 0.850398 	 0.293916 	 0.058620 	 0.008247 	 0.000897 	 0.000080 
0.980000 	 0.847446 	 0.296351 	 0.059750 	 0.008496 	 0.000934 	 0.000084 
0.990000 	 0.844471 	 0.298769 	 0.060888 	 0.008749 	 0.000972 	 0.000088 
1.000000 	 0.841471 	 0.301169 	 0.062035 	 0.009007 	 0.001011 	 0.000093 
1.010000 	 0.838447 	 0.303551 	 0.063190 	 0.009269 	 0.001051 	 0.000097 
1.020000 	 0.835400 	 0.305916 	 0.064352 	 0.009536 	 0.001092 	 0.000102 
1.030000 	 0.832329 	 0.308262 	 0.065523 	 0.009808 	 0.001135 	 0.000107 
1.040000 	 0.829235 	 0.310591 	 0.066701 	 0.010085 	 0.001178 	 0.000112 
1.050000 	 0.826117 	 0.312901 	 0.067886 	 0.010366 	 0.001223 	 0.000118 
1.060000 	 0.822977 	 0.315193 	 0.069079 	 0.010653 	 0.001269 	 0.000123 
1.070000 	 0.819814 	 0.317467 	 0.070280 	 0.010944 	 0.001316 	 0.000129 
1.080000 	 0.816628 	 0.319722 	 0.071488 	 0.011240 	 0.001365 	 0.000135 
1.090000 	 0.813419 	 0.321958 	 0.072703 	 0.011541 	 0.001415 	 0.000141 
1.100000 	 0.810189 	 0.324175 	 0.073925 	 0.011847 	 0.001466 	 0.000148 
1.110000 	 0.806936 	 0.326373 	 0.075154 	 0.012158 	 0.001519 	 0.000155 
1.120000 	 0.803661 	 0.328552 	 0.076390 	 0.012474 	 0.001572 	 0.000162 
1.130000 	 0.800365 	 0.330712 	 0.077633 	 0.012795 	 0.001628 	 0.000169 
1.140000 	 0.797047 	 0.332853 	 0.078882 	 0.013121 	 0.001684 	 0.000176 
1.150000 	 0.793708 	 0.334974 	 0.080138 	 0.013452 	 0.001742 	 0.000184 
1.160000 	 0.790348 	 0.337076 	 0.081400 	 0.013788 	 0.001802 	 0.000192 
1.170000 	 0.786966 	 0.339158 	 0.082669 	 0.014129 	 0.001863 	 0.000200 
1.180000 	 0.783564 	 0.341220 	 0.083944 	 0.014475 	 0.001925 	 0.000209 
1.190000 	 0.780142 	 0.343262 	 0.085225 	 0.014826 	 0.001989 	 0.000217 
1.200000 	 0.776699 	 0.345285 	 0.086512 	 0.015183 	 0.002055 	 0.000226 
1.210000 	 0.773236 	 0.347287 	 0.087805 	 0.015544 	 0.002122 	 0.000236 
1.220000 	 0.769754 	 0.349269 	 0.089104 	 0.015911 	 0.002190 	 0.000245 
1.230000 	 0.766251 	 0.351230 	 0.090408 	 0.016283 	 0.002260 	 0.000255 
1.240000 	 0.762729 	 0.353172 	 0.091718 	 0.016660 	 0.002332 	 0.000266 
1.250000 	 0.759188 	 0.355092 	 0.093034 	 0.017043 	 0.002405 	 0.000276 
1.260000 	 0.755627 	 0.356992 	 0.094355 	 0.017430 	 0.002480 	 0.000287 
1.270000 	 0.752048 	 0.358872 	 0.095680 	 0.017823 	 0.002557 	 0.000299 
1.280000 	 0.748450 	 0.360730 	 0.097012 	 0.018221 	 0.002636 	 0.000310 
1.290000 	 0.744833 	 0.362568 	 0.098348 	 0.018625 	 0.002716 	 0.000322 
1.300000 	 0.741199 	 0.364384 	 0.099689 	 0.019033 	 0.002798 	 0.000335 
1.310000 	 0.737546 	 0.366180 	 0.101034 	 0.019447 	 0.002881 	 0.000347 
1.320000 	 0.733875 	 0.367954 	 0.102385 	 0.019866 	 0.002967 	 0.000360 
1.330000 	 0.730187 	 0.369707 	 0.103739 	 0.020291 	 0.003054 	 0.000374 
1.340000 	 0.726481 	 0.371439 	 0.105099 	 0.020721 	 0.003143 	 0.000388 
1.350000 	 0.722758 	 0.373149 	 0.106462 	 0.021156 	 0.003234 	 0.000402 
1.360000 	 0.719018 	 0.374838 	 0.107830 	 0.021596 	 0.003326 	 0.000417 
1.370000 	 0.715261 	 0.376505 	 0.109202 	 0.022042 	 0.003421 	 0.000432 
1.380000 	 0.711488 	 0.378150 	 0.110578 	 0.022493 	 0.003518 	 0.000447 
1.390000 	 0.707698 	 0.379774 	 0.111957 	 0.022949 	 0.003616 	 0.000463 
