3.479997	-0.943285	-0.943285
3.499997	-0.936457	-0.936458
3.519997	-0.929255	-0.929255
3.539997	-0.921681	-0.921681
3.559997	-0.913738	-0.913738
3.579997	-0.905430	-0.905430
3.599997	-0.896760	-0.896760
3.619997	-0.887731	-0.887731
3.639997	-0.878346	-0.878346
3.659997	-0.868611	-0.868611
3.679997	-0.858528	-0.858528
3.699997	-0.848102	-0.848102
3.719997	-0.837336	-0.837336
3.739997	-0.826235	-0.826235
3.759997	-0.814805	-0.814804
3.779997	-0.803048	-0.803048
3.799997	-0.790970	-0.790969
3.819997	-0.778575	-0.778575
3.839997	-0.765869	-0.765869
3.859997	-0.752857	-0.752857
3.879997	-0.739544	-0.739544
3.899997	-0.725935	-0.725934
3.919997	-0.712035	-0.712035
3.939997	-0.697851	-0.697851
3.959997	-0.683387	-0.683387
3.979997	-0.668650	-0.668650
3.999997	-0.653646	-0.653646
4.019997	-0.638380	-0.638380
4.039997	-0.622859	-0.622859
4.059997	-0.607088	-0.607089
4.079997	-0.591076	-0.591076
4.099997	-0.574826	-0.574826
4.119997	-0.558347	-0.558347
4.139997	-0.541644	-0.541644
4.159997	-0.524725	-0.524725
4.179997	-0.507596	-0.507596
4.199997	-0.490264	-0.490263
4.219997	-0.472735	-0.472735
4.239997	-0.455018	-0.455018
4.259997	-0.437118	-0.437118
4.279997	-0.419044	-0.419044
4.299997	-0.400802	-0.400802
4.319997	-0.382400	-0.382400
4.339997	-0.363844	-0.363845
4.359997	-0.345144	-0.345144
4.379997	-0.326305	-0.326305
4.399997	-0.307336	-0.307336
4.419997	-0.288244	-0.288244
4.439997	-0.269036	-0.269036
4.459997	-0.249722	-0.249721
4.479997	-0.230306	-0.230306
4.499997	-0.210799	-0.210799
4.519997	-0.191207	-0.191208
4.539997	-0.171539	-0.171540
4.559997	-0.151803	-0.151803
4.579997	-0.132006	-0.132006
4.599997	-0.112156	-0.112156
4.619997	-0.092260	-0.092261
4.639997	-0.072329	-0.072329
4.659997	-0.052368	-0.052369
4.679996	-0.032387	-0.032387
4.699996	-0.012392	-0.012392
4.719996	0.007607	0.007607
4.739996	0.027604	0.027604
4.759996	0.047589	0.047589
4.779996	0.067556	0.067556
4.799996	0.087495	0.087495
4.819996	0.107400	0.107400
4.839996	0.127260	0.127261
4.859996	0.147072	0.147072
4.879996	0.166824	0.166824
4.899996	0.186509	0.186509
4.919996	0.206119	0.206119
4.939996	0.225647	0.225647
4.959996	0.245085	0.245085
4.979996	0.264425	0.264425
4.999996	0.283658	0.283659
5.019996	0.302779	0.302779
5.039996	0.321777	0.321778
5.059996	0.340649	0.340649
5.079996	0.359383	0.359383
5.099996	0.377974	0.377974
5.119996	0.396414	0.396414
5.139996	0.414694	0.414695
5.159996	0.432810	0.432810
5.179996	0.450752	0.450751
5.199996	0.468512	0.468513
5.219996	0.486086	0.486087
5.239996	0.503468	0.503467
5.259996	0.520645	0.520646
5.279996	0.537615	0.537616
5.299996	0.554371	0.554371
5.319996	0.570905	0.570904
5.339996	0.587211	0.587209
5.359996	0.603281	0.603280
5.379996	0.619109	0.619108
5.399996	0.634688	0.634690
5.419996	0.650017	0.650017
5.439996	0.665086	0.665084
5.459996	0.679886	0.679886
5.479996	0.694417	0.694415
5.499996	0.708665	0.708667
5.519996	0.722633	0.722635
5.539996	0.736315	0.736314
5.559996	0.749699	0.749699
5.579996	0.762783	0.762783
5.599996	0.775563	0.775563
5.619996	0.788034	0.788033
5.639996	0.800189	0.800187
5.659996	0.812020	0.812021
5.679996	0.823531	0.823530
5.699996	0.834711	0.834710
5.719995	0.845556	0.845556
5.739995	0.856066	0.856064
5.759995	0.866230	0.866230
5.779995	0.876050	0.876049
5.799995	0.885517	0.885517
5.819995	0.894632	0.894632
5.839995	0.903391	0.903388
5.859995	0.911783	0.911784
5.879995	0.919811	0.919814
5.899995	0.927476	0.927477
5.919995	0.934768	0.934768
5.939995	0.941689	0.941686
5.959995	0.948226	0.948227
5.979995	0.954389	0.954389
5.999995	0.960169	0.960169
6.019995	0.965564	0.965565
6.039995	0.970577	0.970575
6.059995	0.975195	0.975196
6.079995	0.979427	0.979428
6.099995	0.983267	0.983268
6.119995	0.986715	0.986714
6.139995	0.989765	0.989766
6.159995	0.992423	0.992422
6.179995	0.994681	0.994681
6.199995	0.996542	0.996542
6.219995	0.998003	0.998004
6.239995	0.999067	0.999067
6.259995	0.999731	0.999731
6.279995	0.999995	0.999995
